"Node","Betweenness","Closeness","Eigenvector","PageRank","InDegree","OutDegree","TotalDegree","LocalClustering"
"Andorra",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"United Arab Emirates",2.07400033184005e-06,0.574018126888218,0.368111172777275,0.00307282772174507,1,50,51,0.0556862745098039
"Afghanistan",0,0.50531914893617,0.115221445333248,0.00402133900543456,8,0,8,0.25
"Antigua and Barbuda",0,NA,0,0.00305869786746602,0,0,0,0
"Anguilla",0,NA,0,0.00305869786746602,0,0,0,0
"Albania",0,0.513513513513513,0.214627603521078,0.00450918253025938,14,0,14,0.164835164835165
"Armenia",4.14800066368011e-06,0.508021390374332,0.162001823494525,0.00344313657049865,9,1,10,0.377777777777778
"Netherlands Antilles",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Angola",0.00117949386490949,0.527777777777778,0.258253847995925,0.00528170129025151,16,9,25,0.304347826086957
"Antarctica",0,NA,0,0.00305869786746602,0,0,0,0
"Argentina",0.000106465350367789,0.521978021978022,0.242100007288317,0.00604658985031835,20,1,21,0.142857142857143
"American Samoa",0,NA,0,0.00305869786746602,0,0,0,0
"Austria",0,0.536723163841808,0.243544149104211,0.00307282772174507,1,27,28,0.105820105820106
"Australia",0,0.50131926121372,0.0653669663582652,0.00307282772174507,1,5,6,0.4
"Aruba",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Azerbaijan",1.38266688789337e-05,0.506666666666667,0.15655407886575,0.00345052359049176,9,1,10,0.311111111111111
"Bosnia and Herzegovina",0,0.519125683060109,0.233336385250696,0.00516193042107215,18,0,18,0.183006535947712
"Barbados",0,0.49738219895288,0.0568750759669427,0.00310048615990833,2,1,3,0.666666666666667
"Bangladesh",0,0.513513513513513,0.19939528401828,0.00523279207479165,14,0,14,0.164835164835165
"Belgium",0,0.562130177514793,0.370204185847158,0.00307282772174507,1,43,44,0.115221987315011
"Burkina Faso",0,0.512129380053908,0.206766517552544,0.00530480078162092,13,0,13,0.307692307692308
"Bulgaria",4.83933410762679e-05,0.508021390374332,0.114139752010003,0.00315032376154073,3,7,10,0.355555555555556
"Bahrain",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Burundi",0,0.506666666666667,0.146325585347806,0.00344846471836526,8,1,9,0.416666666666667
"Benin",0,0.509383378016086,0.17468746229694,0.00406811184790741,12,0,12,0.242424242424242
"Bermuda",0,NA,0,0.00305869786746602,0,0,0,0
"Brunei",0,NA,0,0.00305869786746602,0,0,0,0
"Bolivia",0,0.50531914893617,0.167570660853981,0.00386662404468969,11,0,11,0.345454545454545
"Brazil",0.000395758768083308,0.526315789473684,0.21333681155659,0.00356512101657203,7,16,23,0.288537549407115
"Bahamas",0,0.494791666666667,0.0509340191548805,0.00310048615990833,2,0,2,0
"Bhutan",0,0.494791666666667,0.0724309334978545,0.00326062484197958,4,0,4,0.5
"Bouvet Island",0,NA,0,0.00305869786746602,0,0,0,0
"Botswana",0,0.496083550913838,0.106196969174584,0.00321718534545071,5,0,5,0.6
"Belarus",1.65920026547204e-05,0.50131926121372,0.0898296939065488,0.00321254252101115,4,2,6,0.6
"Belize",0,0.49738219895288,0.0582942968672227,0.0033433355706674,3,1,4,0.833333333333333
"Canada",0,0.535211267605634,0.252025164503255,0.00307282772174507,1,27,28,0.17989417989418
"Cocos [Keeling] Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Congo",0.000403738731264864,0.526315789473684,0.254124463806023,0.012316481797836,27,3,30,0.296442687747036
"Central African Republic",0,0.494791666666667,0.0509340191548805,0.00310048615990833,2,0,2,0
"Switzerland",0,0.517711171662125,0.161487975251951,0.00307282772174507,1,15,16,0.183333333333333
"Cote d'Ivoire",8.9873347713069e-05,0.513513513513513,0.207026104474257,0.00394745153965684,12,2,14,0.32967032967033
"Cook Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Chile",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Cameroon",8.29600132736021e-05,0.517711171662125,0.237642495466615,0.00430934375535446,16,1,17,0.220588235294118
"China",0.00473138732845054,0.63973063973064,0.594664184641127,0.00368266960818254,9,75,84,0.104417670682731
"Colombia",0,0.50531914893617,0.126897961436801,0.00352547937211741,8,0,8,0.285714285714286
"Costa Rica",1.24440019910403e-05,0.508021390374332,0.162722326435661,0.00354414514102293,9,1,10,0.466666666666667
"Cuba",0,NA,0,0.00305869786746602,0,0,0,0
"Cabo Verde",0,0.508021390374332,0.1760217119236,0.00392882683226283,11,0,11,0.236363636363636
"Christmas Island",0,NA,0,0.00305869786746602,0,0,0,0
"Cyprus",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Czechia",0,0.383064516129032,0.0703711492813577,0.00305869786746602,0,8,8,0.0714285714285714
"Germany",2.07400033184005e-06,0.603174603174603,0.466913976700649,0.00307282772174507,1,65,66,0.0741258741258741
"Djibouti",0,0.512129380053908,0.205872476443651,0.00414998194263927,13,0,13,0.346153846153846
"Denmark",0,0.519125683060109,0.166364536639565,0.00307282772174507,1,15,16,0.233333333333333
"Dominica",0,0.503978779840849,0.119911185212825,0.00641740706730414,8,0,8,0.357142857142857
"Dominican Republic",0,0.512129380053908,0.181781366937471,0.0041513035951561,13,0,13,0.243589743589744
"Algeria",0.000159559758862895,0.521978021978022,0.225403245446322,0.00353101449625182,10,7,17,0.470588235294118
"Ecuador",0,0.513513513513513,0.193524552146258,0.00407542413589951,14,0,14,0.186813186813187
"Estonia",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Egypt",8.35130800287595e-05,0.520547945205479,0.201233206995343,0.00472615218821112,17,1,18,0.156862745098039
"Western Sahara",0,NA,0,0.00305869786746602,0,0,0,0
"Eritrea",0,0.5,0.138325382199203,0.00340888687901944,8,0,8,0.357142857142857
"Spain",0,0.581039755351682,0.445295853976331,0.00307282772174507,1,54,55,0.106397306397306
"Ethiopia",0,0.521978021978022,0.241849639330415,0.00550033183450534,19,0,19,0.233918128654971
"Finland",0,0.50531914893617,0.0918947359594346,0.00307282772174507,1,7,8,0.25
"Fiji",0,0.494791666666667,0.0840659928674124,0.00320562459518775,4,0,4,0.5
"Falkland Islands [Islas Malvinas]",0,NA,0,0.00305869786746602,0,0,0,0
"Micronesia",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Faroe Islands",0,NA,0,0.00305869786746602,0,0,0,0
"France",2.07400033184005e-06,0.633333333333333,0.596152837562084,0.00307282772174507,1,81,82,0.0768518518518519
"Gabon",0,0.5,0.10639402510135,0.00322821584830721,5,0,5,0.5
"United Kingdom",0,0.526315789473684,0.193184934472719,0.00307282772174507,1,20,21,0.2
"Grenada",0,0.516304347826087,0.179287789835953,0.00790661249180371,15,0,15,0.180952380952381
"Georgia",0,0.517711171662125,0.209045931113872,0.0156794476111164,17,0,17,0.323529411764706
"French Guiana",0,NA,0,0.00305869786746602,0,0,0,0
"Guernsey",0,NA,0,0.00305869786746602,0,0,0,0
"Ghana",0,0.523415977961432,0.270921988493986,0.00951824251161854,20,0,20,0.263157894736842
"Gibraltar",0,NA,0,0.00305869786746602,0,0,0,0
"Greenland",0,NA,0,0.00305869786746602,0,0,0,0
"Gambia",0,0.506666666666667,0.152979745304102,0.00374665244020057,10,0,10,0.222222222222222
"Guinea",0,0.521978021978022,0.229415860689454,0.0142714388467716,19,0,19,0.292397660818713
"Guadeloupe",0,NA,0,0.00305869786746602,0,0,0,0
"Equatorial Guinea",0,0.49738219895288,0.0604213639535957,0.00310048615990833,2,2,4,0.666666666666667
"Greece",0,0.498687664041995,0.06099230408939,0.00307282772174507,1,3,4,0.5
"South Georgia and the South Sandwich Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Guatemala",0,0.5,0.125832461062424,0.00358097814887161,8,0,8,0.5
"Guam",0,NA,0,0.00305869786746602,0,0,0,0
"Guinea-Bissau",0,0.508021390374332,0.140979190439557,0.00574557690300428,10,0,10,0.355555555555556
"Guyana",0,0.508021390374332,0.158729583367629,0.0094722698281516,12,0,12,0.378787878787879
"Gaza Strip",0,NA,0,0.00305869786746602,0,0,0,0
"Hong Kong",0,NA,0,0.00305869786746602,0,0,0,0
