year,debtorCountry,creditorCountry,series,data
2022,Afghanistan,Italy,DT.DOD.BLAT.CD,22718580
2022,Afghanistan,Bulgaria,DT.DOD.BLAT.CD,4201000
2022,Afghanistan,Russian Federation,DT.DOD.BLAT.CD,849119000
2022,Afghanistan,"Iran, Islamic Republic Of",DT.DOD.BLAT.CD,9139000
2022,Afghanistan,Kuwait,DT.DOD.BLAT.CD,22499591
2022,Afghanistan,Saudi Arabia,DT.DOD.BLAT.CD,79376533
2022,Angola,Belgium,DT.DOD.BLAT.CD,43730
2022,Angola,France,DT.DOD.BLAT.CD,85789837
2022,Angola,Italy,DT.DOD.BLAT.CD,17083732
2022,Angola,Netherlands,DT.DOD.BLAT.CD,2656900
2022,Angola,Portugal,DT.DOD.BLAT.CD,307270000
2022,Angola,Spain,DT.DOD.BLAT.CD,28647000
2022,Angola,Serbia,DT.DOD.BLAT.CD,7546000
2022,Angola,Poland,DT.DOD.BLAT.CD,59972283
2022,Angola,South Africa,DT.DOD.BLAT.CD,303458033
2022,Angola,Canada,DT.DOD.BLAT.CD,302262000
2022,Angola,United States,DT.DOD.BLAT.CD,10858000
2022,Angola,India,DT.DOD.BLAT.CD,15803000
2022,Angola,Japan,DT.DOD.BLAT.CD,499061959
2022,Angola,"Korea, Republic of",DT.DOD.BLAT.CD,231249000
2022,Albania,Austria,DT.DOD.BLAT.CD,8104026
2022,Albania,France,DT.DOD.BLAT.CD,79995000
2022,Albania,"Germany, Fed. Rep. of",DT.DOD.BLAT.CD,325998823
2022,Albania,Italy,DT.DOD.BLAT.CD,155586008
2022,Albania,Greece,DT.DOD.BLAT.CD,661292
2022,Albania,Spain,DT.DOD.BLAT.CD,7686000
2022,Albania,Kuwait,DT.DOD.BLAT.CD,71560202
2022,Albania,Saudi Arabia,DT.DOD.BLAT.CD,24845600
2022,Albania,United Arab Emirates,DT.DOD.BLAT.CD,41725527
2022,Albania,Japan,DT.DOD.BLAT.CD,58175650
2022,Albania,China,DT.DOD.BLAT.CD,1858000
2022,Albania,"Korea, Republic of",DT.DOD.BLAT.CD,13722307
2022,Argentina,Austria,DT.DOD.BLAT.CD,14212000
2022,Argentina,Belgium,DT.DOD.BLAT.CD,2771026
2022,Argentina,Denmark,DT.DOD.BLAT.CD,3207000
2022,Argentina,France,DT.DOD.BLAT.CD,94148800
2022,Argentina,"Germany, Fed. Rep. of",DT.DOD.BLAT.CD,722668430
2022,Argentina,Italy,DT.DOD.BLAT.CD,201866882
2022,Argentina,Netherlands,DT.DOD.BLAT.CD,168420406
2022,Argentina,Sweden,DT.DOD.BLAT.CD,3965000
2022,Argentina,Switzerland,DT.DOD.BLAT.CD,127039263
2022,Argentina,United Kingdom,DT.DOD.BLAT.CD,17263000
2022,Argentina,Spain,DT.DOD.BLAT.CD,189718709
2022,Argentina,Canada,DT.DOD.BLAT.CD,44872000
2022,Argentina,United States,DT.DOD.BLAT.CD,157564000
2022,Argentina,Brazil,DT.DOD.BLAT.CD,32067000
2022,Argentina,Israel,DT.DOD.BLAT.CD,873000
2022,Argentina,Kuwait,DT.DOD.BLAT.CD,81702336
2022,Argentina,United Arab Emirates,DT.DOD.BLAT.CD,73192375
